step,wall_time,value
90599,1776913980.820507,0.156272262
90649,1776914000.997794,0.13715899
90699,1776914020.576185,0.138717681
90749,1776914040.053968,0.159956351
90799,1776914059.415350,0.139487788
90849,1776914078.791702,0.170573562
90899,1776914098.297312,0.128504306
90949,1776914117.738266,0.14001146
90999,1776914138.087843,0.137833193
91049,1776914157.127734,0.152355999
91099,1776914178.582402,0.146409392
91149,1776914197.275570,0.142251521
91199,1776914216.036132,0.142598122
91249,1776914235.315870,0.157398388
91299,1776914255.215859,0.14058055
91349,1776914274.629204,0.150408179
91399,1776914295.122780,0.13704595
91449,1776914314.722475,0.147488803
91499,1776914334.109747,0.152427986
91549,1776914353.217059,0.15110603
91599,1776914373.073024,0.154358193
91649,1776914391.989448,0.141509622
91699,1776914412.381967,0.133163944
91749,1776914431.877951,0.131142825
91799,1776914450.203325,0.148798525
91849,1776914469.921803,0.148440242
91899,1776914489.015245,0.151862249
91949,1776914508.167972,0.150362909
91999,1776914527.217820,0.147381872
92049,1776914545.924053,0.144045681
92099,1776914565.556142,0.144259363
92149,1776914585.177274,0.153216809
92199,1776914604.070493,0.153197438
92249,1776914624.078945,0.151976228
92299,1776914643.084145,0.147440642
92349,1776914662.505534,0.126385838
92399,1776914681.744962,0.132467389
92449,1776914700.044433,0.151635647
92499,1776914719.480471,0.139212534
92549,1776914737.420013,0.144775599
92599,1776914757.285143,0.149115145
92649,1776914780.075011,0.142540455
92699,1776914802.592835,0.151795462
92749,1776914825.256221,0.144590005
92799,1776914847.819126,0.144259393
92849,1776914867.761990,0.14672181
92899,1776914887.134193,0.157518238
92949,1776914906.399391,0.147790402
92999,1776914930.572000,0.144480228
93049,1776914952.414685,0.144749135
93099,1776914975.949034,0.157054737
93149,1776915001.595704,0.143946677
93199,1776915023.422900,0.14366591
93249,1776915043.864856,0.137887448
93299,1776915065.197400,0.15993093
93349,1776915085.820689,0.148544341
93399,1776915107.623348,0.13590315
93449,1776915127.772705,0.15922758
93499,1776915147.965329,0.145812109
93549,1776915168.732144,0.1444235
93599,1776915188.442727,0.152791068
93649,1776915207.510586,0.143579632
93699,1776915227.331340,0.13818723
93749,1776915248.043935,0.139570624
93799,1776915268.065145,0.152137756
93849,1776915287.770521,0.14404732
93899,1776915308.238563,0.156589627
93949,1776915327.218951,0.145787776
93999,1776915346.190227,0.152837738
94049,1776915366.277294,0.155538023
94099,1776915384.930104,0.142144591
94149,1776915404.467726,0.141807258
94199,1776915426.085914,0.148009971
94249,1776915445.179618,0.142790914
94299,1776915464.876427,0.149831444
94349,1776915490.078742,0.142481238
